Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,204.169998,204.369995,201.350006,201.720001,177.085739,169632600
2015-01-06,202.089996,202.720001,198.860001,199.820007,175.417755,209151400
2015-01-07,201.419998,202.720001,200.880005,202.309998,177.603638,125346700
2015-01-08,204.009995,206.160004,203.990005,205.899994,180.755264,147217800
2015-01-09,206.399994,206.419998,203.509995,204.250000,179.306778,158567300
2015-01-12,204.410004,204.600006,201.919998,202.649994,177.902145,144396100
2015-01-13,204.119995,205.479996,200.509995,202.080002,177.401749,214553300
2015-01-14,199.649994,201.100006,198.570007,200.860001,176.330765,192991100
2015-01-15,201.630005,202.009995,198.880005,199.020004,174.715439,176613900
2015-01-16,198.770004,201.820007,198.550003,201.630005,177.006714,211879600
2015-01-20,202.399994,202.720001,200.169998,202.059998,177.384232,130991100
2015-01-21,201.500000,203.660004,200.940002,203.080002,178.279617,122942700
2015-01-22,203.990005,206.259995,202.330002,206.100006,180.930862,174356000
2015-01-23,205.789993,206.100006,204.809998,204.970001,179.938812,117516800
2015-01-26,204.710007,205.559998,203.850006,205.449997,180.360199,92009700
2015-01-27,202.970001,204.119995,201.740005,202.740005,177.981140,134044600
2015-01-28,204.169998,204.289993,199.910004,200.139999,175.698654,168514300
2015-01-29,200.380005,202.300003,198.679993,201.990005,177.322754,173585400
2015-01-30,200.570007,202.169998,199.130005,199.449997,175.092926,197729700
2015-02-02,200.050003,202.029999,197.860001,201.919998,177.261276,163107000
2015-02-03,203.000000,204.850006,202.550003,204.839996,179.824707,124212900
2015-02-04,203.919998,205.380005,203.509995,204.059998,179.139984,134306700
2015-02-05,204.860001,206.300003,204.770004,206.119995,180.948395,97953200
2015-02-06,206.559998,207.240005,204.919998,205.550003,180.448044,125672000
2015-02-09,204.770004,205.639999,204.139999,204.630005,179.640381,87219000
2015-02-10,205.880005,207.119995,204.679993,206.809998,181.554108,96164200
2015-02-11,206.610001,207.449997,205.830002,206.929993,181.659500,91087800
2015-02-12,207.889999,208.990005,206.970001,208.919998,183.406509,97545900
2015-02-13,209.070007,209.839996,208.759995,209.779999,184.161392,93670400
2015-02-17,209.399994,210.320007,209.100006,210.110001,184.451141,76968200
2015-02-18,209.660004,210.220001,209.339996,210.130005,184.468689,80652900
2015-02-19,209.410004,210.419998,209.240005,209.979996,184.336990,91462500
2015-02-20,209.479996,211.330002,208.729996,211.240005,185.443130,140896400
2015-02-23,210.940002,211.210007,210.479996,211.210007,185.416794,74411100
2015-02-24,211.119995,212.050003,210.759995,211.809998,185.943558,72472300
2015-02-25,211.660004,212.240005,211.220001,211.630005,185.785492,73061700
2015-02-26,211.520004,211.710007,210.649994,211.380005,185.566040,72697900
2015-02-27,211.259995,211.580002,210.600006,210.660004,184.933960,108076000
2015-03-02,210.779999,212.059998,210.720001,211.990005,186.101563,87491400
2015-03-03,211.470001,212.050003,210.080002,211.119995,185.337769,110325800
2015-03-04,210.399994,210.490005,209.059998,210.229996,184.556473,114497200
2015-03-05,210.619995,210.800003,209.850006,210.460007,184.758392,76873000
